"SiteID","dist.m","n","Total.seeds","seeds.m2","deliv.freq","Total.seeds.pico","seeds.m2.pico","deliv.freq.pico","Total.seeds.psme","seeds.m2.psme","deliv.freq.psme","Total.seeds.pien","seeds.m2.pien","deliv.freq.pien","Total.seeds.abla","seeds.m2.abla","deliv.freq.abla","Mean.stemarea.m2","Mean.Height.m","total.density.ha","Mean.stemarea.m2ha","mean.cones.ha","mean.nonser.cones.ha","Positioning","X20m.tree.dist","X50m.tree.dist","X100m.tree.dist","n.pico","Mean.stemarea.m2.pico","Mean.Height.m.pico","Mean.cones.pico","density.ha.pico","Mean.stemarea.m2ha.pico","mean.cones.ha.pico","mean.nonser.cones.ha.pico","area","min.slope.30","mean.slope.30","max.slope.30","min.TRI.30","mean.TRI.30","max.TRI.30","min.TPI.30","mean.TPI.30","max.TPI.30","min.roughness.30","mean.roughness.30","max.roughness.30"
"T5",20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478,57.0540857796732,14.0515860667786,20.0184152264098,24.9726219753586,7.93633009168849,9.27091354935266,11.0646548800999,-1.89798719618057,0.802930964717234,4.52359544542105,23.214027777778,27.4016616030094,30.4025545247396
"T5",35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478,197.387134282272,14.0515860667786,20.0184152264098,24.9726219753586,7.93633009168849,9.27091354935266,11.0646548800999,-1.89798719618057,0.802930964717234,4.52359544542105,23.214027777778,27.4016616030094,30.4025545247396
"T5",5,1,2,13.2275132275132,1,2,13.2275132275132,1,0,0,0,0,0,0,0,0,0,0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478,2.85329491201082,14.0515860667786,20.0184152264098,24.9726219753586,7.93633009168849,9.27091354935266,11.0646548800999,-1.89798719618057,0.802930964717234,4.52359544542105,23.214027777778,27.4016616030094,30.4025545247396
"T5",50,4,1,1.65343915343915,1,1,1.65343915343915,1,0,0,0,0,0,0,0,0,0,0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478,317.830711904196,14.0515860667786,20.0184152264098,24.9726219753586,7.93633009168849,9.27091354935266,11.0646548800999,-1.89798719618057,0.802930964717234,4.52359544542105,23.214027777778,27.4016616030094,30.4025545247396
"T5",75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478,323.616721413356,14.0515860667786,20.0184152264098,24.9726219753586,7.93633009168849,9.27091354935266,11.0646548800999,-1.89798719618057,0.802930964717234,4.52359544542105,23.214027777778,27.4016616030094,30.4025545247396
"T6",100,8,2,1.65343915343915,1,1,0.826719576719577,1,0,0,0,1,0.826719576719577,1,0,0,0,0.05420055082,22.236,800,43.360440656,79366.4,69842.432,"Upslope","174",103.5,241,24,0.0557226180416667,22.6375,102.091666666667,800,44.5780944333334,81673.3333333336,71464.1666666669,-1.64141414140886,15.1800442653793,19.4819362751703,22.3360934294233,6.28178934733074,8.18317923086666,9.55644931369369,-0.70122653537328,1.00399807400193,2.21947116427964,19.7439870876738,26.2080315936053,31.9859828016492
"T6",20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05420055082,22.236,800,43.360440656,79366.4,69842.432,"Upslope","174",103.5,241,24,0.0557226180416667,22.6375,102.091666666667,800,44.5780944333334,81673.3333333336,71464.1666666669,19.7356129655918,15.1800442653793,19.4819362751703,22.3360934294233,6.28178934733074,8.18317923086666,9.55644931369369,-0.70122653537328,1.00399807400193,2.21947116427964,19.7439870876738,26.2080315936053,31.9859828016492
"T6",35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05420055082,22.236,800,43.360440656,79366.4,69842.432,"Upslope","174",103.5,241,24,0.0557226180416667,22.6375,102.091666666667,800,44.5780944333334,81673.3333333336,71464.1666666669,86.2940439551778,15.1800442653793,19.4819362751703,22.3360934294233,6.28178934733074,8.18317923086666,9.55644931369369,-0.70122653537328,1.00399807400193,2.21947116427964,19.7439870876738,26.2080315936053,31.9859828016492
"T6",5,2,4,13.2275132275132,1,4,13.2275132275132,1,0,0,0,0,0,0,0,0,0,0.05420055082,22.236,800,43.360440656,79366.4,69842.432,"Upslope","174",103.5,241,24,0.0557226180416667,22.6375,102.091666666667,800,44.5780944333334,81673.3333333336,71464.1666666669,0.739548808396648,15.1800442653793,19.4819362751703,22.3360934294233,6.28178934733074,8.18317923086666,9.55644931369369,-0.70122653537328,1.00399807400193,2.21947116427964,19.7439870876738,26.2080315936053,31.9859828016492
"T6",50,4,2,3.30687830687831,1,2,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.05420055082,22.236,800,43.360440656,79366.4,69842.432,"Upslope","174",103.5,241,24,0.0557226180416667,22.6375,102.091666666667,800,44.5780944333334,81673.3333333336,71464.1666666669,151.963914042767,15.1800442653793,19.4819362751703,22.3360934294233,6.28178934733074,8.18317923086666,9.55644931369369,-0.70122653537328,1.00399807400193,2.21947116427964,19.7439870876738,26.2080315936053,31.9859828016492
